name,Image_link,src,Price
Capsicum Green Hybrid (25 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Capsicum-Green-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Capsicum-Seeds-online-in-India?limit=100,₹60
Cauliflower Non-Hybrid (200 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Cauliflower-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Cauliflower-seeds-online?limit=100,₹40
Turnip Purple Top (100 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Turnip-700x850-228x228-0.JPG,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Turnip-Purple-Top-Seeds-Online?limit=100,₹50
Peas Green (30 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Peas-Green-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Peas-Green-Seeds-Online?limit=100,₹40
Radish (300 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Raddish-White-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Radish-Seeds-online-india?limit=100,₹30
Ridge Gourd Non-Hybrid (40 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Ridge-Gourd-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Ridge-Gourd-Non-hybrid?limit=100,₹30 ₹40
Dolichos Bush(Chettu Chikkudu) (15 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Broad-Beans-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Dolichos(Indian-Beans)-Non-Hybrid?limit=100,₹30 ₹40
Dolichos Creeper(Theega Chikkudu) (15 Seeds),https://www.seedbasket.in/image/cache/catalog/Dolichos-Creeper-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Dolichos(Creeper)-Non-Hybrid?limit=100,₹30
Cluster Beans (80+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Cluster-Beans-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Cluster-Beans-Seeds?limit=100,₹30 ₹40
Yellow Cucumber(Dosakaya) (100+ Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Cucumber-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Yellow-Cucumber-Dosakaya?limit=100,₹40
Onion Red (400 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Red-Onion-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Onion-Seeds-online-in-India?limit=100,₹40
Keera Cucumber Non Hybrid (50 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Keera-Cucumber-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Keera-Cucumber(Dosakaya)-Online?limit=100,₹40
Snake Gourd Non-Hybrid (12 Seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Snake-Gourd-228x228-1966935349.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Snake-Gourd-Non-Hybrid-Seeds-online-in-India?limit=100,₹40
French Beans(35 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Frenchbeans-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-French-Beans-Seeds-Online-in-India?limit=100,₹40
Leafy vegetable seeds - pack of 6,https://www.seedbasket.in/image/cache/catalog/Products/Kits/LeafyPack6-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Leafy-vegetables-combo-packof6?limit=100,₹150 ₹170
